crime_code,year,latitude,longitude
99,1,55.5919,13.0329
99,1,55.586,12.9922
99,1,55.6091,13.0207
99,1,55.6138,12.9732
99,1,55.623,13.0072
99,1,55.5511,13.1047
99,1,55.6084,13.0118
99,1,55.5372,12.92
99,1,55.6158,13.0063
99,1,55.5979,13.0002
99,1,55.5752,12.9322
99,1,55.6152,13.0204
99,1,55.622,13.0604
99,1,55.5907,13.068
99,1,55.6021,13.0237
99,1,55.5531,13.1124
99,1,55.6099,13.0111
99,1,55.5968,13.0217
99,1,55.612,12.9601
99,1,55.6187,13.0146
99,1,55.583,12.9856
99,1,55.5811,12.9821
99,1,55.6138,13.0166
99,1,55.6237,12.9892
99,1,55.6101,13.0259
99,1,55.6028,12.9864
99,1,55.587,12.9927
99,1,55.6185,13.0204
99,1,55.6034,12.9374
99,1,55.6175,13.0339
99,1,55.602,13.0165
99,1,55.5924,13.0657
99,1,55.5838,13.0713
99,1,55.5886,13.0489
99,1,55.5986,13.0443
99,1,55.6193,13.0191
99,1,55.6172,13.0183
99,1,55.5794,13.054
99,1,55.6222,13.0091
99,1,55.6091,13.0057
99,1,55.6026,13.0068
99,1,55.5988,13.0218
99,1,55.6171,13.0294
99,1,55.6001,13.0197
99,1,55.6094,12.9967
99,1,55.5896,13.0177
99,1,55.5726,13.0324
99,1,55.5968,13.0672
99,1,55.6011,13.065
99,1,55.6006,13.069
99,1,55.6003,13.0657
99,1,55.5981,13.0671
99,1,55.5996,13.0695
99,1,55.6,13.0663
99,1,55.5981,13.066
99,1,55.5992,13.0693
99,1,55.599,13.0691
99,1,55.5989,13.0203
99,1,55.5815,13.031
99,1,55.6017,13.0292
99,1,55.6345,13.0744
99,1,55.5693,12.964
99,1,55.6061,13.0159
99,1,55.5376,12.9207
99,1,55.5783,13.0221
99,1,55.5721,13.0209
99,1,55.5905,13.0149
99,1,55.6008,13.0227
99,1,55.6179,13.0203
99,1,55.6213,13.0122
99,1,55.6011,13.0279
99,1,55.6094,12.9908
99,1,55.5871,12.9186
99,1,55.5908,13.0918
99,1,55.5862,12.9224
99,1,55.5652,12.926
99,1,55.6198,13.0974
99,1,55.6018,13.089
99,1,55.5941,12.9486
99,1,55.6078,13.0248
99,1,55.623,13.007
99,1,55.5974,13.0461
99,1,55.5902,13.0601
99,1,55.598,13.026
99,1,55.6047,13.1023
99,1,55.6051,13.0037
99,1,55.6033,13.0284
99,1,55.6181,13.038
99,1,55.6037,13.0325
99,1,55.6235,12.9991
99,1,55.5937,13.0403
99,1,55.5945,13.0511
99,1,55.5739,13.0278
99,1,55.6081,13.0983
99,1,55.6175,13.0117
99,1,55.5933,13.0342
99,1,55.6022,13.0486
99,1,55.5711,13.0222
99,1,55.6212,13.0123
99,1,55.6274,13.064
99,1,55.63,13.0645
99,1,55.588,13.0603
99,1,55.5791,12.9855
99,1,55.5899,12.9764
99,1,55.5885,13.0528
99,1,55.6016,12.9912
99,1,55.5918,12.9825
99,1,55.58,12.9884
99,1,55.6155,13.0117
99,1,55.5996,12.9559
99,1,55.6065,12.9881
99,1,55.569,13.0312
99,1,55.5955,13.0679
99,1,55.6064,13.0045
99,1,55.6219,13.0116
99,1,55.6167,13.0409
99,1,55.619,13.0393
99,1,55.5891,13.0412
99,1,55.5929,13.0383
99,1,55.591,13.04
99,1,55.589,13.0408
99,1,55.6097,12.9964
99,1,55.5746,13.0018
99,1,55.6214,13.0476
99,1,55.6071,13.0352
99,1,55.6183,13.0129
99,1,55.6206,13.0164
99,1,55.5872,13.0259
99,1,55.6169,13.031
99,1,55.6127,13.0337
99,1,55.5945,13.0361
99,1,55.6102,13.0195
99,1,55.5865,13.0156
99,1,55.6007,13.0427
99,1,55.5873,13.0235
99,1,55.5629,12.9329
99,1,55.6137,13.0299
99,1,55.5694,13.0324
99,1,55.6005,13.0182
99,1,55.6111,13.0115
99,1,55.5944,13.0384
99,1,55.5797,13.0304
99,1,55.6087,12.993
99,1,55.6051,13.0481
99,1,55.6032,12.991
99,1,55.6301,12.9874
99,1,55.5824,13.0761
99,1,55.6103,13.02
99,1,55.6041,13.0314
99,1,55.618,13.0147
99,1,55.5979,13.0369
99,1,55.6081,13.0235
99,1,55.6031,13.032
99,1,55.5845,12.9521
99,1,55.6035,12.986
99,1,55.6108,12.9829
99,1,55.5944,13.0306
99,1,55.5946,13.0293
99,1,55.6059,13.0285
99,1,55.6131,13.0249
99,1,55.6089,13.0376
99,1,55.6171,13.0406
99,1,55.607,13.0217
99,1,55.6069,12.9911
99,1,55.6082,12.9813
99,1,55.6069,12.9821
99,1,55.6032,13.0237
99,1,55.6011,13.0236
99,1,55.5981,12.9787
99,1,55.5962,12.9765
99,1,55.6061,12.9821
99,1,55.6009,12.9592
99,1,55.6124,12.9969
99,1,55.5952,13.0327
99,1,55.6019,13.023
99,1,55.6114,13.0449
99,1,55.5959,13.0766
99,1,55.5918,13.0699
99,1,55.5694,12.941
99,1,55.6024,12.9992
99,1,55.6261,13.0717
99,1,55.5812,13.0353
99,1,55.5802,13.0325
99,1,55.6024,13.0255
99,1,55.5704,12.9385
99,1,55.5889,13.0019
99,1,55.607,13.0283
99,1,55.5731,13.009
99,1,55.5925,13.0633
99,1,55.5919,13.0588
99,1,55.6154,13.015
99,1,55.6087,12.9664
99,1,55.5804,13.0253
99,1,55.5916,13.0728
99,1,55.6146,13.0098
99,1,55.5935,13.0383
99,1,55.5999,13.0815
99,1,55.5922,13.097
99,1,55.5879,13.0311
99,1,55.5892,13.0283
99,1,55.6188,12.9911
99,1,55.5806,13.0309
99,1,55.5818,13.07
99,1,55.5337,13.0175
99,1,55.5875,12.947
99,1,55.6177,12.994
99,1,55.5925,13.0204
99,1,55.5929,13.0166
99,1,55.6096,13.0055
99,1,55.6193,13.0114
99,1,55.6153,13.013
99,1,55.6194,13.0112
99,1,55.6199,13.0108
99,1,55.6005,12.9338
99,1,55.5861,13.0325
99,1,55.6241,13.0652
99,1,55.5987,12.9963
99,1,55.6005,12.9963
99,1,55.6009,12.9951
99,1,55.5934,13.0467
99,1,55.603,13.0195
99,1,55.5847,12.9854
99,1,55.6198,12.9925
99,1,55.6213,12.9917
99,1,55.5922,13.0357
99,1,55.6224,12.9909
99,1,55.6238,12.9945
99,1,55.6265,12.9959
99,1,55.613,13.0246
99,1,55.5781,13.0098
99,1,55.5883,13.0135
99,1,55.6026,13.0275
99,1,55.5778,12.9885
99,1,55.6005,13.063
99,1,55.597,13.0294
99,1,55.5806,13.0389
99,1,55.5861,12.9878
99,1,55.6074,13.027
99,1,55.5498,13.1038
99,1,55.62,13.0199
99,1,55.6061,13.0293
99,1,55.6024,13.025
99,1,55.6255,13.0653
99,1,55.5877,12.9882
99,1,55.5876,12.9917
99,1,55.5998,13.0651
99,1,55.5982,13.0682
99,1,55.598,13.067
99,1,55.6165,12.9948
99,1,55.6185,13.0285
99,1,55.5873,12.9893
99,1,55.5959,13.0764
99,1,55.6022,13.0632
99,1,55.5805,12.9895
99,1,55.5924,13.0338
99,1,55.5926,13.0382
99,1,55.6157,13.0282
99,1,55.6157,13.0302
99,1,55.6123,13.0304
99,1,55.61,13.0128
99,1,55.5813,13.0734
99,1,55.6172,13.0134
99,1,55.6172,13.0114
99,1,55.6169,13.0118
99,1,55.6177,13.0108
99,1,55.5445,13.0912
99,1,55.6137,13.0061
99,1,55.5914,13.0304
99,1,55.6198,13.0146
99,1,55.6186,13.0148
99,1,55.6203,13.013
99,1,55.6177,13.0131
99,1,55.6209,13.0144
99,1,55.6184,13.0122
99,1,55.6172,13.0139
99,1,55.6168,13.0111
99,1,55.6191,13.0152
99,1,55.5819,12.9856
99,1,55.6237,13.0182
99,1,55.6114,13.0138
99,1,55.622,13.0506
99,1,55.6135,13.0126
99,1,55.6061,13.0103
99,1,55.5341,12.9219
99,1,55.6124,13.0225
99,1,55.6137,13.0161
99,1,55.5983,13.0491
99,1,55.5872,12.9906
99,1,55.6147,13.0149
99,1,55.5922,13.0489
99,1,55.6138,13.01
99,1,55.6229,13.0485
99,1,55.6141,13.0017
99,1,55.6087,13.0213
99,1,55.5829,13.0366
99,1,55.617,13.0128
99,1,55.5884,12.9874
99,1,55.6078,12.9825
